factor_id,regime_dependency_class,main_regime_note_zh,main_regime_note_en,paper_return_btc_corr,paper_return_btc_beta,long_short_btc_corr,long_short_btc_beta,ic_btc_return_corr,bull_minus_bear_paper_return,highvol_minus_lowvol_paper_return,drawdown_minus_normal_paper_return
amihud_illiquidity_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,-0.07710925619065363,-0.06412160740780534,-0.016947596443831058,-0.0008770822783154392,0.12084328966605604,-0.013211492053902991,0.03815360012018564,0.08383184136411079
bb_zscore_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,-0.05129334340380634,-0.05572859410325374,0.003536818074788127,0.00013294313382052915,-0.07043438013261581,-0.004813042873679896,-0.03786264660388686,0.08898704112043203
breakout_dist_20h,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.22400678719015493,-0.22568275018999256,-0.04667524976214304,-0.0017237883718643867,-0.11470302400133436,-0.09499693900505599,0.02654665654247404,0.12328406147186757
breakout_dist_48h,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.13320440080488288,-0.15232881878450175,0.020894391605666356,0.0010481505813728696,-0.10829199582972208,-0.05930798650436535,-0.005176188363509707,0.12707001686458919
candle_body,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.24096582238116715,-0.1906423387712812,-0.0121910875862617,-0.00016048092157972525,-0.0020808726155119176,-0.0880159832940034,0.06946677246402333,0.04446333902279331
candle_wick_lower,VOL_DEPENDENT,波动率依赖,Volatility-dependent,0.17343760036091943,0.14113941944268688,-0.11072239067543828,-0.0013265796085587778,0.06771710849706683,0.010384275197090898,0.0801320614719806,-0.009998267936951966
candle_wick_upper,VOL_DEPENDENT,波动率依赖,Volatility-dependent,0.012909455893650328,0.01145684153252071,0.12681805739452884,0.002171310869277538,-0.13293102637324108,0.0034470754863957787,-0.07757965227812846,0.04926159624076648
downside_vol_20h,BULL_DEPENDENT,牛市依赖,Bull-dependent,0.14902045781784587,0.22421676144137706,-0.09532580060275536,-0.0073634636195061744,0.08891912673703295,0.10784765329728996,-0.14292209870131917,0.08393454336112426
ema_12_26_gap,VOL_DEPENDENT,波动率依赖,Volatility-dependent,-0.04437281489097545,-0.05584227432696055,0.11689807923655449,0.007084368862719443,-0.12271102867692887,-0.00014897247091424926,-0.10300730090826389,-0.03427680871838976
funding_rate_change_24h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.4997495949231267,0.4279052213834699,-0.14107255667164906,-0.0030696242148621883,-0.021600354869888417,0.04874261850979945,0.018669606135765293,-0.025576481100731505
funding_rate_level_20h,BULL_DEPENDENT,牛市依赖,Bull-dependent,-0.017561414648851338,-0.025622572673302292,0.02433042806122468,0.002178905180125119,-0.07885739846859634,0.053845945111774526,-0.03903741354611244,0.13383642219023645
funding_rate_zscore_80h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.17352115350124464,0.14154599228197196,-0.25338921827205085,-0.011493001563845176,0.1723977321904396,-0.01842812458535996,0.007469233321776986,-0.005865003246012718
intraday_ret,BEAR_DEPENDENT,熊市依赖,Bear-dependent,-0.14865738812309706,-0.14582028560903842,-0.007326958845421411,-0.0001137505624538318,-0.01576854048174276,-0.05792775556623919,0.043434057794876024,0.10161633274170001
