,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_beta_30h,q158_close_close_4h,q158_cntd_20h,q158_cntd_30h,q158_cntn_20h,q158_cntn_30h,q158_cntp_20h,q158_cntp_30h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imax_30h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_ma_60h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_max_60h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_min_60h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtld_30h,q158_qtlu_20h,q158_qtlu_30h,q158_rank_close_20h,q158_rank_close_30h,q158_resi_20h,q158_resi_30h,q158_roc_20h,q158_rsqr_20h,q158_rsqr_30h,q158_rsv_20h,q158_rsv_30h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_std_60h,q158_sumd_20h,q158_sumd_30h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha101,wq101_alpha12,wq101_alpha21,wq101_alpha23,wq101_alpha24,wq101_alpha25,wq101_alpha28,wq101_alpha30,wq101_alpha32,wq101_alpha33,wq101_alpha34,wq101_alpha35,wq101_alpha37,wq101_alpha38,wq101_alpha40,wq101_alpha41,wq101_alpha42,wq101_alpha43,wq101_alpha44,wq101_alpha45,wq101_alpha46,wq101_alpha47,wq101_alpha49,wq101_alpha50,wq101_alpha51,wq101_alpha52,wq101_alpha53,wq101_alpha54,wq101_alpha55,wq101_alpha6,wq101_alpha60,wq101_alpha61,wq101_alpha65,wq101_alpha68,wq101_alpha74,wq101_alpha75,wq101_alpha9,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,0.845181,,,,,,,,,,,,,,,,,-0.110449,,,,,,-0.098175,,,0.012413,,,-0.009592,,,,-0.128784,,,0.033994,,-0.037249,,0.031378,,,,,,,,,,0.002615,,,,,,,,,,,,,,,,,,,0.13483,,,,,0.191631,,,,,-0.141245,,,,,,,,,0.070489,,0.142926,,-0.054566,,0.005307,,,0.025576,,-0.018629,,,0.168039,,,,-0.05265,,,,,,,,,,,,,,,,,,0.224318,,,,,,,0.141482,,,,,,-0.079148,,,,,,,0.046913,,0.191064,,0.158684,,,,,,,,,,,,,,,,-0.01862,,,,,0.063023,,,,,,-0.018568,,0.037496,,,,,,0.125986,,,,,,,,0.014893,,,,,0.019479,,
a101_volume_cap_alpha_min_56_84,,1.0,,,0.465057,,,,,0.100067,,,,,,,,,,,,,,,,,-0.18251,,,,,,,0.035624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.020006,,,,,-0.126483,,,,,-0.005852,,,,,,,,,,,,,,,,,,,,,,,-0.10347,,,,,,,,,,,,,,,,,,-0.01363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015197,,,,,,,,,-0.597675,,,,,,,,-0.001392,,,,,,,,,,,,,,,,,,,-0.345784,,,,0.006323,,,,,
a101_volume_cap_alpha_min_80_80,,,1.0,0.760771,,,0.460573,-0.069365,-0.03158,,-0.016675,0.005155,0.028401,-0.007648,-0.131367,0.029588,,-0.023466,-0.019317,-0.016131,-0.087627,-0.052985,,0.007826,-0.041056,-0.087152,,0.00431,,-0.066056,-0.093968,,-0.018411,,,0.091747,-0.082256,-0.010627,,0.061034,0.031818,,-0.019383,,0.045639,,-0.091859,-0.089029,-0.072844,-0.017667,0.007507,0.027735,0.042516,-0.140763,0.033843,,0.035531,0.006214,-0.140947,-0.087859,0.004785,-0.016131,-0.016594,-0.020822,-0.018688,-0.055236,0.028065,0.102414,0.072571,0.072728,0.086489,0.089772,0.085967,0.054344,,0.05183,,-0.068281,-0.067173,,-0.064745,,0.146866,0.097819,,0.137787,,0.01613,0.029119,0.051001,0.061065,0.06627,0.071761,,0.043193,,-0.072999,,-0.068887,,-0.00431,0.001007,,-0.031469,,-0.161039,-0.131343,,-0.145237,,-0.017688,,0.017691,-0.017686,0.052867,-0.008162,0.003919,0.00951,0.008623,0.030629,-0.088861,0.088861,-0.088861,0.027307,-0.186628,-0.072923,-0.059118,,-0.140763,,-0.163996,-0.0475,0.024385,0.013557,0.087152,0.015976,,0.028976,0.051223,0.093968,0.066056,-0.034955,,-0.074627,-0.010987,0.021527,-0.002806,0.617935,-0.094443,,-0.008363,,-0.147402,,-0.170611,-0.033878,-0.074131,-0.057423,,-0.182679,0.009304,-0.048983,0.053502,-0.03767,0.026988,0.008904,0.024527,,0.023493,,-0.009842,-0.028484,-0.023243,0.026347,,,-0.026498,-0.069355,0.01288,-0.452867,,0.009034,,0.06474,0.009161,0.039009,0.211792,0.039009,,0.010961,0.012106,0.017303,0.062513,-0.001546,,-0.258751,,0.034935,,0.016732,-0.132884,,0.011658,-0.659356
a101_volume_high_alpha_min_84_84,,,0.760771,1.0,,,0.503911,0.006424,0.037359,,0.007493,-0.009548,0.018281,-0.049777,-0.00216,-0.011627,,-0.108006,0.045681,0.004325,-0.032256,-0.032977,,-0.092641,0.016765,0.005924,,0.006458,,-0.002661,-0.1329,,-0.001628,,,0.044101,-0.038499,0.019733,,0.007153,-0.001812,,0.010823,,0.009127,,-0.056621,-0.086845,-0.022094,-0.008224,0.002243,0.005225,0.002987,-0.022093,-0.033005,,0.042897,-0.048436,-0.021907,-0.03205,-0.009988,0.004325,0.007597,-0.002662,-0.00121,-0.006264,0.017896,0.020404,0.006519,0.011891,0.01987,0.015754,0.009816,-0.010289,,0.007694,,-0.047576,-0.059719,,-0.024648,,0.015664,-0.026651,,0.034409,,-0.004325,-0.005801,0.008428,0.007268,0.002946,-0.006828,,-0.015179,,0.005765,,-0.012106,,-0.006459,-0.015403,,0.037534,,-0.057986,-0.035369,,-0.032592,,-0.001485,,0.001486,-0.001484,0.02109,0.002522,-0.00148,0.001751,-7.5e-05,0.012412,-0.020642,0.020642,-0.020642,0.040562,-0.071897,-0.032708,-0.020586,,-0.022093,,-0.032511,-0.135981,0.062991,0.013269,-0.005924,-0.004679,,-0.006145,0.008424,0.1329,0.002661,-0.005914,,-0.009448,0.000973,0.004488,0.016921,0.67869,0.022474,,0.000768,,-0.034019,,-0.052098,-0.015161,-0.064359,-0.021313,,-0.032769,0.115435,0.028466,-0.019294,-0.04535,0.037817,0.009778,-0.014777,,0.030405,,-0.004001,-0.030365,-0.02387,0.038502,,,-0.026456,-0.101469,0.037237,-0.576418,,0.023415,,-0.008105,0.033211,0.049326,0.270744,0.049326,,-0.012541,-0.000373,0.039425,0.071965,-0.003164,,-0.309556,,0.036319,,0.043672,-0.011683,,0.014907,-0.743897
a101_volume_low_alpha_min_84_120,,0.465057,,,1.0,,,,,-0.049305,,,,,,,,,,,,,,,,,-0.286482,,,,,,,-0.096116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108504,,,,,-0.032359,,,,,0.110865,,,,,,,,,,,,,,,,,,,,,,,-0.152472,,,,,,,,,,,,,,,,,,0.029598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032875,,,,,,,,,-0.312013,,,,,,,,0.061232,,,,,,,,,,,,,,,,,,,-0.198621,,,,0.032964,,,,,
a101_volume_xs_z_mean_neg_112h,0.845181,,,,,1.0,,,,,,,,,,,,,,,,,-0.07183,,,,,,-0.093533,,,0.008277,,,-0.026876,,,,-0.049951,,,-0.152398,,0.145688,,-0.158995,,,,,,,,,,0.101259,,,,,,,,,,,,,,,,,,,0.040899,,,,,0.063993,,,,,0.036462,,,,,,,,,0.023754,,0.045541,,-0.034885,,0.030174,,,-0.00818,,-0.052834,,,0.026846,,,,-0.068078,,,,,,,,,,,,,,,,,,-0.004098,,,,,,,0.04044,,,,,,-0.088943,,,,,,,0.019254,,0.05008,,0.038585,,,,,,,,,,,,,,,,-0.025683,,,,,0.059832,,,,,,-0.021105,,0.040691,,,,,,0.159285,,,,,,,,0.016602,,,,,-0.002145,,
amihud_illiquidity_20h,,,0.460573,0.503911,,,1.0,-0.006452,-0.003922,,0.004372,-0.010321,-0.031244,-0.003066,-0.081331,-0.030335,,0.06381,0.041579,0.002771,-0.039206,0.006352,,-0.04593,-0.006452,-0.004687,,-0.009698,,0.002725,-0.04527,,-0.009813,,,-0.038694,-0.029557,-0.006976,,-0.003355,-0.031503,,-0.03993,,-0.102594,,-0.024576,-0.030294,-0.045893,-0.028429,-0.024444,-0.021099,-0.01793,-0.061296,0.002067,,-0.02694,0.017821,-0.061266,-0.039159,-0.00812,0.002771,0.004328,0.010598,0.011526,-0.060082,-0.029052,0.026471,0.014313,0.008875,0.009946,0.01016,-0.002616,0.001683,,-0.004713,,-0.057798,-0.060742,,-0.055906,,0.05399,0.066123,,0.045798,,-0.002771,-0.006727,-0.0062,-0.003227,-0.002782,0.026053,,-0.02368,,-0.007256,,0.004037,,0.009698,-0.019323,,-0.005262,,-0.079601,-0.099987,,-0.060448,,-0.010222,,0.010203,-0.010246,0.020426,-0.004622,-0.007302,-0.008906,-0.012557,0.094722,0.014667,-0.014667,0.014667,0.03289,-0.06837,-0.008163,0.021263,,-0.061296,,-0.08076,-0.004818,-0.038518,-0.003878,0.004687,-0.002672,,-0.006957,-0.006192,0.04527,-0.002725,-0.017717,,-0.005466,0.002659,-0.096809,0.002117,0.034557,0.012889,,-0.090409,,-0.060061,,0.026046,0.013267,-0.025771,0.021568,,-0.095355,0.014026,-0.00315,-0.000748,0.001522,0.00239,0.012089,-0.011854,,-0.034346,,0.012274,0.091777,-0.01708,-0.008305,,,-0.017606,-0.102416,0.008182,-0.333985,,-0.051823,,0.000201,0.112217,-0.000757,0.076428,-0.001043,,-0.009555,-0.012664,-0.091039,-0.008426,-0.035627,,-0.136915,,-0.010032,,-0.002847,-0.060818,,0.007463,-0.487906
bb_zscore_20h,,,-0.069365,0.006424,,,-0.006452,1.0,0.934045,,0.382546,-0.076912,0.090398,0.472872,-0.246263,0.61703,,0.040844,0.134281,0.389407,-0.063863,0.138487,,0.15811,0.805877,0.864102,,0.759141,,0.755616,0.327867,,0.785143,,,0.643477,0.450496,0.71257,,-0.700835,0.584445,,-0.557079,,0.561848,,0.461849,0.33558,-0.200443,-0.428405,-0.558109,-0.644647,-0.709087,0.020575,-0.569363,,0.614147,-0.689153,0.025701,-0.059959,-0.076789,0.389407,0.382475,0.291212,0.278912,0.107327,0.090215,-0.234805,-0.44463,-0.568917,-0.652532,-0.716615,-0.869465,-0.940628,,-0.678508,,-0.638498,-0.714724,,-0.487808,,-0.654889,-0.738705,,-0.504341,,-0.389407,-0.5364,-0.631909,-0.700481,-0.755316,-0.928915,,-0.906823,,0.979193,,0.464853,,-0.759141,-0.056026,,0.934058,,-0.016462,-0.032318,,-0.001593,,0.784029,,-0.784027,0.784031,-0.038193,-0.002905,-0.005089,-0.013043,-0.01841,-0.025038,0.049253,-0.049253,0.049253,0.006046,0.067306,0.0611,0.06867,,0.020575,,0.003168,0.57384,0.030573,0.283222,-0.864102,-0.390116,,-0.536857,-0.632308,-0.327867,-0.755616,0.911095,,0.960572,0.062338,0.237928,0.12548,0.003742,0.66977,,0.615717,,0.036597,,0.038987,0.01008,0.448093,0.036248,,0.037102,0.512558,0.926775,-0.906837,0.334111,-0.183955,-0.396958,-0.323737,,0.000543,,-0.179468,-0.001655,-0.25125,0.061288,,,-0.353702,-0.326223,-0.15926,0.069592,,-0.235941,,-0.460435,0.352288,-0.325916,-0.057628,-0.326049,,-0.11504,-0.253365,-0.065111,-0.205518,-0.34489,,-0.019069,,-0.038037,,-0.214811,0.020161,,0.22415,0.014053
breakout_dist_20h,,,-0.03158,0.037359,,,-0.003922,0.934045,1.0,,0.372181,-0.044665,0.055291,0.537462,-0.270364,0.617822,,0.095152,0.164345,0.375486,-0.04515,0.119441,,0.135312,0.799959,0.807726,,0.778271,,0.682709,0.286008,,0.807751,,,0.650751,0.399818,0.734544,,-0.635533,0.608353,,-0.581883,,0.584434,,0.412035,0.1772,-0.223029,-0.413934,-0.518666,-0.591386,-0.646402,0.006115,-0.590662,,0.626252,-0.707755,0.011138,-0.041334,-0.044496,0.375486,0.372107,0.308229,0.295206,0.067728,0.055216,-0.238554,-0.420926,-0.523479,-0.593649,-0.648397,-0.798258,-0.910293,,-0.622224,,-0.642067,-0.78023,,-0.479349,,-0.648363,-0.782222,,-0.493736,,-0.375486,-0.497008,-0.576551,-0.635397,-0.682576,-0.876271,,-0.878852,,0.924376,,0.345742,,-0.778271,-0.077398,,0.999982,,-0.025182,-0.067357,,-0.005105,,0.805319,,-0.805318,0.80532,-0.047064,-0.00462,-0.008441,-0.018766,-0.025317,-0.031678,0.050063,-0.050063,0.050063,0.006314,0.064509,0.078468,0.078374,,0.006115,,-0.002848,0.182568,0.033099,0.276445,-0.807726,-0.375733,,-0.497157,-0.576602,-0.286008,-0.682709,0.882506,,0.918108,0.06318,0.22572,0.116889,-0.015886,0.639843,,0.624752,,0.029197,,0.050945,0.023154,0.398407,0.046319,,0.018419,0.5188,0.925622,-0.926575,0.323539,-0.154097,-0.3503,-0.304682,,0.004715,,-0.143206,-0.02695,-0.241927,0.067516,,,-0.328878,-0.252876,-0.150571,0.08045,,-0.17777,,-0.36005,0.311218,-0.315394,-0.049669,-0.315564,,-0.11387,-0.273273,-0.067735,-0.109006,-0.347426,,-0.008035,,-0.020449,,-0.209858,0.004524,,0.218873,0.022041
breakout_dist_48h,,0.100067,,,-0.049305,,,,,1.0,,,,,,,,,,,,,,,,,0.347943,,,,,,,0.737958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.874654,,,,,-0.744665,,,,,-0.723127,,,,,,,,,,,,,,,,,,,,,,,-0.13776,,,,,,,,,,,,,,,,,,0.083175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036167,,,,,,,,,-0.340023,,,,,,,,0.063141,,,,,,,,,,,,,,,,,,,0.063034,,,,-0.073381,,,,,
