factor_id,month,liquidity_proxy_method,avg_turnover,median_turnover,max_turnover,n_observations,selected_basket_volume_median,selected_basket_volume_p10,participation_100000,participation_100000_selected_median,participation_1000000,participation_1000000_selected_median,participation_10000000,participation_10000000_selected_median
mom_20h,2024-06,selected_basket_proxy,0.175225,0.166667,0.55,699,1621796.89,59605.56,0.00015,0.00015,0.001501,0.001501,0.015006,0.015006
mom_20h,2024-07,selected_basket_proxy,0.179531,0.166667,0.428571,744,1621796.89,59605.56,0.000154,0.000154,0.001537,0.001537,0.015375,0.015375
mom_20h,2024-08,selected_basket_proxy,0.183858,0.181818,0.380952,744,1621796.89,59605.56,0.000157,0.000157,0.001575,0.001575,0.015745,0.015745
mom_20h,2024-09,selected_basket_proxy,0.177237,0.173913,0.454545,720,1621796.89,59605.56,0.000152,0.000152,0.001518,0.001518,0.015178,0.015178
mom_20h,2024-10,selected_basket_proxy,0.179837,0.166667,0.416667,744,1621796.89,59605.56,0.000154,0.000154,0.00154,0.00154,0.015401,0.015401
mom_20h,2024-11,selected_basket_proxy,0.179617,0.18,0.4,720,1621796.89,59605.56,0.000154,0.000154,0.001538,0.001538,0.015382,0.015382
mom_20h,2024-12,selected_basket_proxy,0.184877,0.18,0.403846,744,1621796.89,59605.56,0.000158,0.000158,0.001583,0.001583,0.015833,0.015833
mom_20h,2025-01,selected_basket_proxy,0.172528,0.166667,0.375,744,1621796.89,59605.56,0.000148,0.000148,0.001478,0.001478,0.014775,0.014775
mom_20h,2025-02,selected_basket_proxy,0.171112,0.166667,0.482759,672,1621796.89,59605.56,0.000147,0.000147,0.001465,0.001465,0.014654,0.014654
mom_20h,2025-03,selected_basket_proxy,0.178336,0.177419,0.4,744,1621796.89,59605.56,0.000153,0.000153,0.001527,0.001527,0.015272,0.015272
mom_20h,2025-04,selected_basket_proxy,0.17684,0.176471,0.439394,720,1621796.89,59605.56,0.000151,0.000151,0.001514,0.001514,0.015144,0.015144
