factor_id,horizon,month,rank_ic,rank_ic_adj,n_obs,positive_ic
a101_vol_xs_z_product_112h,1h,2024-06,0.02468386,0.02468386,608,True
a101_vol_xs_z_product_112h,1h,2024-07,0.02050487,0.02050487,744,True
a101_vol_xs_z_product_112h,1h,2024-08,0.01757947,0.01757947,744,True
a101_vol_xs_z_product_112h,1h,2024-09,0.01117837,0.01117837,720,True
a101_vol_xs_z_product_112h,1h,2024-10,0.01910005,0.01910005,668,True
a101_vol_xs_z_product_112h,1h,2024-11,0.00888867,0.00888867,683,True
a101_vol_xs_z_product_112h,1h,2024-12,0.01247908,0.01247908,744,True
a101_vol_xs_z_product_112h,1h,2025-01,0.03455739,0.03455739,744,True
a101_vol_xs_z_product_112h,1h,2025-02,0.01861203,0.01861203,672,True
a101_vol_xs_z_product_112h,1h,2025-03,0.01945768,0.01945768,744,True
a101_vol_xs_z_product_112h,1h,2025-04,0.01121437,0.01121437,720,True
a101_vol_xs_z_product_112h,1h,2025-05,0.02209225,0.02209225,744,True
a101_vol_xs_z_product_112h,1h,2025-06,0.01711918,0.01711918,720,True
a101_vol_xs_z_product_112h,1h,2025-07,0.012046,0.012046,744,True
a101_vol_xs_z_product_112h,1h,2025-08,0.01790921,0.01790921,744,True
a101_vol_xs_z_product_112h,1h,2025-09,0.01479242,0.01479242,720,True
a101_vol_xs_z_product_112h,1h,2025-10,0.01577031,0.01577031,744,True
a101_vol_xs_z_product_112h,1h,2025-11,0.01620291,0.01620291,720,True
a101_vol_xs_z_product_112h,1h,2025-12,0.01693582,0.01693582,744,True
a101_vol_xs_z_product_112h,1h,2026-01,0.01680464,0.01680464,744,True
a101_vol_xs_z_product_112h,1h,2026-02,0.01240285,0.01240285,672,True
a101_vol_xs_z_product_112h,1h,2026-03,0.01570918,0.01570918,744,True
a101_vol_xs_z_product_112h,1h,2026-04,0.01499563,0.01499563,720,True
a101_vol_xs_z_product_112h,1h,2026-05,0.0161492,0.0161492,744,True
a101_vol_xs_z_product_112h,1h,2026-06,0.01071042,0.01071042,288,True
a101_vol_xs_z_product_112h,24h,2024-06,0.06465739,0.06465739,608,True
a101_vol_xs_z_product_112h,24h,2024-07,0.05619122,0.05619122,744,True
a101_vol_xs_z_product_112h,24h,2024-08,0.05119401,0.05119401,744,True
a101_vol_xs_z_product_112h,24h,2024-09,-0.00134915,-0.00134915,720,False
a101_vol_xs_z_product_112h,24h,2024-10,0.03913842,0.03913842,669,True
a101_vol_xs_z_product_112h,24h,2024-11,0.00414207,0.00414207,683,True
a101_vol_xs_z_product_112h,24h,2024-12,0.03988629,0.03988629,744,True
a101_vol_xs_z_product_112h,24h,2025-01,0.08986861,0.08986861,744,True
a101_vol_xs_z_product_112h,24h,2025-02,0.05374133,0.05374133,672,True
a101_vol_xs_z_product_112h,24h,2025-03,0.05380467,0.05380467,744,True
a101_vol_xs_z_product_112h,24h,2025-04,0.00950117,0.00950117,720,False
a101_vol_xs_z_product_112h,24h,2025-05,0.08132544,0.08132544,744,True
a101_vol_xs_z_product_112h,24h,2025-06,0.03583399,0.03583399,720,True
a101_vol_xs_z_product_112h,24h,2025-07,0.02478779,0.02478779,744,True
a101_vol_xs_z_product_112h,24h,2025-08,0.06741839,0.06741839,744,True
a101_vol_xs_z_product_112h,24h,2025-09,0.03185099,0.03185099,720,True
a101_vol_xs_z_product_112h,24h,2025-10,0.05032233,0.05032233,744,True
a101_vol_xs_z_product_112h,24h,2025-11,0.06296595,0.06296595,720,True
a101_vol_xs_z_product_112h,24h,2025-12,0.04555927,0.04555927,744,True
a101_vol_xs_z_product_112h,24h,2026-01,0.05485659,0.05485659,744,True
a101_vol_xs_z_product_112h,24h,2026-02,0.04359793,0.04359793,672,True
a101_vol_xs_z_product_112h,24h,2026-03,0.05348258,0.05348258,744,True
a101_vol_xs_z_product_112h,24h,2026-04,0.03992997,0.03992997,720,True
a101_vol_xs_z_product_112h,24h,2026-05,0.05043589,0.05043589,744,True
a101_vol_xs_z_product_112h,24h,2026-06,0.03806537,0.03806537,265,True
a101_vol_xs_z_product_112h,4h,2024-06,0.03028714,0.03028714,608,True
a101_vol_xs_z_product_112h,4h,2024-07,0.02785487,0.02785487,744,True
a101_vol_xs_z_product_112h,4h,2024-08,0.02181517,0.02181517,744,True
a101_vol_xs_z_product_112h,4h,2024-09,0.01121582,0.01121582,720,True
a101_vol_xs_z_product_112h,4h,2024-10,0.02555219,0.02555219,669,True
a101_vol_xs_z_product_112h,4h,2024-11,0.00934861,0.00934861,683,True
a101_vol_xs_z_product_112h,4h,2024-12,0.02202143,0.02202143,744,True
a101_vol_xs_z_product_112h,4h,2025-01,0.0513486,0.0513486,744,True
a101_vol_xs_z_product_112h,4h,2025-02,0.02742337,0.02742337,672,True
a101_vol_xs_z_product_112h,4h,2025-03,0.02895368,0.02895368,744,True
a101_vol_xs_z_product_112h,4h,2025-04,0.01621449,0.01621449,720,True
a101_vol_xs_z_product_112h,4h,2025-05,0.03374787,0.03374787,744,True
a101_vol_xs_z_product_112h,4h,2025-06,0.02466747,0.02466747,720,True
a101_vol_xs_z_product_112h,4h,2025-07,0.01672199,0.01672199,744,True
a101_vol_xs_z_product_112h,4h,2025-08,0.03231231,0.03231231,744,True
a101_vol_xs_z_product_112h,4h,2025-09,0.02078266,0.02078266,720,True
a101_vol_xs_z_product_112h,4h,2025-10,0.02575776,0.02575776,744,True
a101_vol_xs_z_product_112h,4h,2025-11,0.03196262,0.03196262,720,True
a101_vol_xs_z_product_112h,4h,2025-12,0.0272269,0.0272269,744,True
a101_vol_xs_z_product_112h,4h,2026-01,0.02754521,0.02754521,744,True
a101_vol_xs_z_product_112h,4h,2026-02,0.02003786,0.02003786,672,True
a101_vol_xs_z_product_112h,4h,2026-03,0.0290731,0.0290731,744,True
a101_vol_xs_z_product_112h,4h,2026-04,0.02383365,0.02383365,720,True
a101_vol_xs_z_product_112h,4h,2026-05,0.02542983,0.02542983,744,True
a101_vol_xs_z_product_112h,4h,2026-06,0.02237979,0.02237979,285,True
a101_vol_xs_z_product_112h,72h,2024-06,0.09435783,0.09435783,608,True
a101_vol_xs_z_product_112h,72h,2024-07,0.07984584,0.07984584,744,True
a101_vol_xs_z_product_112h,72h,2024-08,0.08341922,0.08341922,744,True
a101_vol_xs_z_product_112h,72h,2024-09,-0.03670248,-0.03670248,720,False
a101_vol_xs_z_product_112h,72h,2024-10,0.02930722,0.02930722,669,True
a101_vol_xs_z_product_112h,72h,2024-11,-0.01377128,-0.01377128,683,False
a101_vol_xs_z_product_112h,72h,2024-12,0.03249844,0.03249844,744,True
a101_vol_xs_z_product_112h,72h,2025-01,0.13743461,0.13743461,744,True
a101_vol_xs_z_product_112h,72h,2025-02,0.05443591,0.05443591,672,True
a101_vol_xs_z_product_112h,72h,2025-03,0.07463971,0.07463971,744,True
a101_vol_xs_z_product_112h,72h,2025-04,-0.01073059,-0.01073059,720,False
a101_vol_xs_z_product_112h,72h,2025-05,0.11288135,0.11288135,744,True
a101_vol_xs_z_product_112h,72h,2025-06,0.05648524,0.05648524,720,True
a101_vol_xs_z_product_112h,72h,2025-07,0.02098407,0.02098407,744,True
a101_vol_xs_z_product_112h,72h,2025-08,0.08567772,0.08567772,744,True
a101_vol_xs_z_product_112h,72h,2025-09,0.0199227,0.0199227,720,True
a101_vol_xs_z_product_112h,72h,2025-10,0.07283849,0.07283849,744,True
a101_vol_xs_z_product_112h,72h,2025-11,0.08091122,0.08091122,720,True
a101_vol_xs_z_product_112h,72h,2025-12,0.04467051,0.04467051,744,True
a101_vol_xs_z_product_112h,72h,2026-01,0.07251911,0.07251911,744,True
a101_vol_xs_z_product_112h,72h,2026-02,0.05986619,0.05986619,672,True
a101_vol_xs_z_product_112h,72h,2026-03,0.06527111,0.06527111,744,True
a101_vol_xs_z_product_112h,72h,2026-04,0.05548123,0.05548123,720,True
a101_vol_xs_z_product_112h,72h,2026-05,0.08609475,0.08609475,744,True
a101_vol_xs_z_product_112h,72h,2026-06,0.04183739,0.04183739,217,True
a101_volume_cap_alpha_min_56_84,1h,2024-06,0.02134712,0.02134712,294,True
a101_volume_cap_alpha_min_56_84,1h,2024-07,0.02140043,0.02140043,744,True
a101_volume_cap_alpha_min_56_84,1h,2024-08,0.02132597,0.02132597,744,True
a101_volume_cap_alpha_min_56_84,1h,2024-09,0.01599912,0.01599912,720,True
a101_volume_cap_alpha_min_56_84,1h,2024-10,0.0213134,0.0213134,743,True
a101_volume_cap_alpha_min_56_84,1h,2024-11,0.01386866,0.01386866,720,True
a101_volume_cap_alpha_min_56_84,1h,2024-12,0.01400306,0.01400306,744,True
a101_volume_cap_alpha_min_56_84,1h,2025-01,0.02957404,0.02957404,744,True
a101_volume_cap_alpha_min_56_84,1h,2025-02,0.01440041,0.01440041,672,True
a101_volume_cap_alpha_min_56_84,1h,2025-03,0.01679583,0.01679583,744,True
a101_volume_cap_alpha_min_56_84,1h,2025-04,0.00809628,0.00809628,720,True
a101_volume_cap_alpha_min_56_84,1h,2025-05,0.01867104,0.01867104,744,True
a101_volume_cap_alpha_min_56_84,1h,2025-06,0.01515437,0.01515437,720,True
a101_volume_cap_alpha_min_56_84,1h,2025-07,0.01814684,0.01814684,744,True
a101_volume_cap_alpha_min_56_84,1h,2025-08,0.0223284,0.0223284,744,True
a101_volume_cap_alpha_min_56_84,1h,2025-09,0.01276777,0.01276777,720,True
a101_volume_cap_alpha_min_56_84,1h,2025-10,0.01211552,0.01211552,744,True
a101_volume_cap_alpha_min_56_84,1h,2025-11,0.01092686,0.01092686,720,True
a101_volume_cap_alpha_min_56_84,1h,2025-12,0.01434935,0.01434935,744,True
a101_volume_cap_alpha_min_56_84,1h,2026-01,0.01133505,0.01133505,744,True
a101_volume_cap_alpha_min_56_84,1h,2026-02,0.01138701,0.01138701,672,True
a101_volume_cap_alpha_min_56_84,1h,2026-03,0.00964645,0.00964645,744,True
a101_volume_cap_alpha_min_56_84,1h,2026-04,0.01146648,0.01146648,720,True
a101_volume_cap_alpha_min_56_84,1h,2026-05,0.01250631,0.01250631,744,True
a101_volume_cap_alpha_min_56_84,1h,2026-06,0.01090903,0.01090903,288,True
a101_volume_cap_alpha_min_56_84,24h,2024-06,0.01789084,0.01789084,294,True
a101_volume_cap_alpha_min_56_84,24h,2024-07,0.07114382,0.07114382,744,True
a101_volume_cap_alpha_min_56_84,24h,2024-08,0.07088539,0.07088539,744,True
a101_volume_cap_alpha_min_56_84,24h,2024-09,0.02301967,0.02301967,720,True
a101_volume_cap_alpha_min_56_84,24h,2024-10,0.05552592,0.05552592,744,True
a101_volume_cap_alpha_min_56_84,24h,2024-11,0.0323595,0.0323595,720,True
a101_volume_cap_alpha_min_56_84,24h,2024-12,0.05524759,0.05524759,744,True
a101_volume_cap_alpha_min_56_84,24h,2025-01,0.07865176,0.07865176,744,True
a101_volume_cap_alpha_min_56_84,24h,2025-02,0.05825189,0.05825189,672,True
a101_volume_cap_alpha_min_56_84,24h,2025-03,0.04708296,0.04708296,744,True
a101_volume_cap_alpha_min_56_84,24h,2025-04,-0.00676197,-0.00676197,720,False
a101_volume_cap_alpha_min_56_84,24h,2025-05,0.07505643,0.07505643,744,True
a101_volume_cap_alpha_min_56_84,24h,2025-06,0.04500913,0.04500913,720,True
a101_volume_cap_alpha_min_56_84,24h,2025-07,0.04465246,0.04465246,744,True
a101_volume_cap_alpha_min_56_84,24h,2025-08,0.08311541,0.08311541,744,True
a101_volume_cap_alpha_min_56_84,24h,2025-09,0.03904396,0.03904396,720,True
a101_volume_cap_alpha_min_56_84,24h,2025-10,0.0291783,0.0291783,744,True
a101_volume_cap_alpha_min_56_84,24h,2025-11,0.0650325,0.0650325,720,True
a101_volume_cap_alpha_min_56_84,24h,2025-12,0.03894734,0.03894734,744,True
a101_volume_cap_alpha_min_56_84,24h,2026-01,0.03028083,0.03028083,744,True
a101_volume_cap_alpha_min_56_84,24h,2026-02,0.04859156,0.04859156,672,True
a101_volume_cap_alpha_min_56_84,24h,2026-03,0.03031277,0.03031277,744,True
a101_volume_cap_alpha_min_56_84,24h,2026-04,0.0354778,0.0354778,720,True
a101_volume_cap_alpha_min_56_84,24h,2026-05,0.04520984,0.04520984,744,True
a101_volume_cap_alpha_min_56_84,24h,2026-06,0.02370305,0.02370305,265,True
a101_volume_cap_alpha_min_56_84,4h,2024-06,0.0185533,0.0185533,294,True
a101_volume_cap_alpha_min_56_84,4h,2024-07,0.02806285,0.02806285,744,True
a101_volume_cap_alpha_min_56_84,4h,2024-08,0.03030613,0.03030613,744,True
a101_volume_cap_alpha_min_56_84,4h,2024-09,0.0230395,0.0230395,720,True
a101_volume_cap_alpha_min_56_84,4h,2024-10,0.02938161,0.02938161,744,True
a101_volume_cap_alpha_min_56_84,4h,2024-11,0.01987576,0.01987576,720,True
a101_volume_cap_alpha_min_56_84,4h,2024-12,0.02627311,0.02627311,744,True
a101_volume_cap_alpha_min_56_84,4h,2025-01,0.04069788,0.04069788,744,True
a101_volume_cap_alpha_min_56_84,4h,2025-02,0.02665845,0.02665845,672,True
a101_volume_cap_alpha_min_56_84,4h,2025-03,0.02763748,0.02763748,744,True
a101_volume_cap_alpha_min_56_84,4h,2025-04,0.00821814,0.00821814,720,True
a101_volume_cap_alpha_min_56_84,4h,2025-05,0.03224241,0.03224241,744,True
a101_volume_cap_alpha_min_56_84,4h,2025-06,0.02270784,0.02270784,720,True
a101_volume_cap_alpha_min_56_84,4h,2025-07,0.02767291,0.02767291,744,True
a101_volume_cap_alpha_min_56_84,4h,2025-08,0.04202514,0.04202514,744,True
a101_volume_cap_alpha_min_56_84,4h,2025-09,0.02000834,0.02000834,720,True
a101_volume_cap_alpha_min_56_84,4h,2025-10,0.01981021,0.01981021,744,True
a101_volume_cap_alpha_min_56_84,4h,2025-11,0.02514505,0.02514505,720,True
a101_volume_cap_alpha_min_56_84,4h,2025-12,0.02245104,0.02245104,744,True
a101_volume_cap_alpha_min_56_84,4h,2026-01,0.01559613,0.01559613,744,True
a101_volume_cap_alpha_min_56_84,4h,2026-02,0.02261899,0.02261899,672,True
a101_volume_cap_alpha_min_56_84,4h,2026-03,0.01833496,0.01833496,744,True
a101_volume_cap_alpha_min_56_84,4h,2026-04,0.02227113,0.02227113,720,True
a101_volume_cap_alpha_min_56_84,4h,2026-05,0.0221412,0.0221412,744,True
a101_volume_cap_alpha_min_56_84,4h,2026-06,0.02330989,0.02330989,285,True
a101_volume_cap_alpha_min_56_84,72h,2024-06,-0.00609889,-0.00609889,294,True
a101_volume_cap_alpha_min_56_84,72h,2024-07,0.10720712,0.10720712,744,True
a101_volume_cap_alpha_min_56_84,72h,2024-08,0.08460759,0.08460759,744,True
a101_volume_cap_alpha_min_56_84,72h,2024-09,0.01522126,0.01522126,720,True
a101_volume_cap_alpha_min_56_84,72h,2024-10,0.06119707,0.06119707,744,True
a101_volume_cap_alpha_min_56_84,72h,2024-11,0.04095892,0.04095892,720,True
a101_volume_cap_alpha_min_56_84,72h,2024-12,0.07011625,0.07011625,744,True
a101_volume_cap_alpha_min_56_84,72h,2025-01,0.11468005,0.11468005,744,True
a101_volume_cap_alpha_min_56_84,72h,2025-02,0.06425137,0.06425137,672,True
a101_volume_cap_alpha_min_56_84,72h,2025-03,0.0441039,0.0441039,744,True
a101_volume_cap_alpha_min_56_84,72h,2025-04,-0.04267349,-0.04267349,720,False
a101_volume_cap_alpha_min_56_84,72h,2025-05,0.10186415,0.10186415,744,True
a101_volume_cap_alpha_min_56_84,72h,2025-06,0.07128798,0.07128798,720,True
a101_volume_cap_alpha_min_56_84,72h,2025-07,0.04805006,0.04805006,744,True
a101_volume_cap_alpha_min_56_84,72h,2025-08,0.1201707,0.1201707,744,True
a101_volume_cap_alpha_min_56_84,72h,2025-09,0.0414536,0.0414536,720,True
a101_volume_cap_alpha_min_56_84,72h,2025-10,0.04586239,0.04586239,744,True
a101_volume_cap_alpha_min_56_84,72h,2025-11,0.0736569,0.0736569,720,True
a101_volume_cap_alpha_min_56_84,72h,2025-12,0.05737035,0.05737035,744,True
a101_volume_cap_alpha_min_56_84,72h,2026-01,0.04183575,0.04183575,744,True
a101_volume_cap_alpha_min_56_84,72h,2026-02,0.06130981,0.06130981,672,True
a101_volume_cap_alpha_min_56_84,72h,2026-03,0.02846555,0.02846555,744,True
a101_volume_cap_alpha_min_56_84,72h,2026-04,0.03721747,0.03721747,720,True
a101_volume_cap_alpha_min_56_84,72h,2026-05,0.06042809,0.06042809,744,True
a101_volume_cap_alpha_min_56_84,72h,2026-06,0.0372173,0.0372173,217,True
