factor_id,horizon,month,long_short_return,cum_long_short_return,drawdown
a101_vol_xs_z_product_112h,1h,2024-06,0.00010896,0.00010896,0.0
a101_vol_xs_z_product_112h,1h,2024-07,0.00010114,0.00021011,0.0
a101_vol_xs_z_product_112h,1h,2024-08,-1.173e-05,0.00019838,-1.173e-05
a101_vol_xs_z_product_112h,1h,2024-09,-0.00012346,7.489e-05,-0.00013519
a101_vol_xs_z_product_112h,1h,2024-10,-4.22e-06,7.067e-05,-0.00013941
a101_vol_xs_z_product_112h,1h,2024-11,-0.00042582,-0.00035518,-0.00056517
a101_vol_xs_z_product_112h,1h,2024-12,0.00012308,-0.00023214,-0.00044216
a101_vol_xs_z_product_112h,1h,2025-01,0.00037397,0.00014174,-6.835e-05
a101_vol_xs_z_product_112h,1h,2025-02,-3.241e-05,0.00010933,-0.00010076
a101_vol_xs_z_product_112h,1h,2025-03,6.984e-05,0.00017918,-3.093e-05
a101_vol_xs_z_product_112h,1h,2025-04,-0.00029453,-0.00011541,-0.00032545
a101_vol_xs_z_product_112h,1h,2025-05,0.00014254,2.712e-05,-0.00018296
a101_vol_xs_z_product_112h,1h,2025-06,3.422e-05,6.134e-05,-0.00014874
a101_vol_xs_z_product_112h,1h,2025-07,-0.00015835,-9.702e-05,-0.00030707
a101_vol_xs_z_product_112h,1h,2025-08,4.77e-06,-9.225e-05,-0.0003023
a101_vol_xs_z_product_112h,1h,2025-09,-0.00038006,-0.00047228,-0.00068224
a101_vol_xs_z_product_112h,1h,2025-10,-3.124e-05,-0.0005035,-0.00071346
a101_vol_xs_z_product_112h,1h,2025-11,6.103e-05,-0.0004425,-0.00065248
a101_vol_xs_z_product_112h,1h,2025-12,-3.443e-05,-0.00047692,-0.00068688
a101_vol_xs_z_product_112h,1h,2026-01,2.89e-05,-0.00044803,-0.000658
a101_vol_xs_z_product_112h,1h,2026-02,4.389e-05,-0.00040416,-0.00061414
a101_vol_xs_z_product_112h,1h,2026-03,0.00013316,-0.00027106,-0.00048107
a101_vol_xs_z_product_112h,1h,2026-04,-0.00017524,-0.00044625,-0.00065622
a101_vol_xs_z_product_112h,1h,2026-05,6.46e-05,-0.00038168,-0.00059166
a101_vol_xs_z_product_112h,1h,2026-06,0.00010449,-0.00027723,-0.00048724
a101_vol_xs_z_product_112h,24h,2024-06,0.00282974,0.00282974,0.0
a101_vol_xs_z_product_112h,24h,2024-07,0.00131028,0.00414373,0.0
a101_vol_xs_z_product_112h,24h,2024-08,0.00092594,0.0050735,0.0
a101_vol_xs_z_product_112h,24h,2024-09,-0.00388004,0.00117378,-0.00388004
a101_vol_xs_z_product_112h,24h,2024-10,-0.00101703,0.00015556,-0.00489312
a101_vol_xs_z_product_112h,24h,2024-11,-0.01111817,-0.01096434,-0.01595689
a101_vol_xs_z_product_112h,24h,2024-12,0.00236172,-0.00862852,-0.01363286
a101_vol_xs_z_product_112h,24h,2025-01,0.00920534,0.00049739,-0.00455301
a101_vol_xs_z_product_112h,24h,2025-02,-0.0005997,-0.00010261,-0.00514998
a101_vol_xs_z_product_112h,24h,2025-03,0.00347851,0.00337555,-0.00168939
a101_vol_xs_z_product_112h,24h,2025-04,-0.00713329,-0.00378182,-0.00881063
a101_vol_xs_z_product_112h,24h,2025-05,0.00532565,0.00152369,-0.0035319
a101_vol_xs_z_product_112h,24h,2025-06,0.00039525,0.00191954,-0.00313804
a101_vol_xs_z_product_112h,24h,2025-07,-0.00524526,-0.00333579,-0.00836684
a101_vol_xs_z_product_112h,24h,2025-08,0.00098987,-0.00234922,-0.00738526
a101_vol_xs_z_product_112h,24h,2025-09,-0.00779737,-0.01012827,-0.01512504
a101_vol_xs_z_product_112h,24h,2025-10,-0.00125788,-0.01137341,-0.01636389
a101_vol_xs_z_product_112h,24h,2025-11,0.00124731,-0.01014029,-0.015137
a101_vol_xs_z_product_112h,24h,2025-12,0.00048511,-0.0096601,-0.01465923
a101_vol_xs_z_product_112h,24h,2026-01,0.00178388,-0.00789345,-0.0129015
a101_vol_xs_z_product_112h,24h,2026-02,-0.00144798,-0.00933,-0.0143308
a101_vol_xs_z_product_112h,24h,2026-03,0.00165092,-0.00769448,-0.01270354
a101_vol_xs_z_product_112h,24h,2026-04,-0.00550561,-0.01315773,-0.01813921
