factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
amihud_illiquidity_20h,liquidity,negative,1h,2024-06,-0.00626984,0.00626984,0.14386079,0.14386079,-0.043583,0.043583,-0.043583,0.4835,0.5165,699,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2024-07,0.00440026,-0.00440026,0.14884578,0.14884578,0.029563,-0.029563,0.029563,0.5175,0.4825,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2024-08,0.0089266,-0.0089266,0.14889218,0.14889218,0.059953,-0.059953,0.059953,0.5336,0.4664,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2024-09,0.01452457,-0.01452457,0.14048022,0.14048022,0.103392,-0.103392,0.103392,0.5278,0.4722,720,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2024-10,0.00706991,-0.00706991,0.14991651,0.14991651,0.047159,-0.047159,0.047159,0.4993,0.5007,723,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2024-11,0.0184864,-0.0184864,0.17216809,0.17216809,0.107374,-0.107374,0.107374,0.5486,0.4514,720,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2024-12,0.00474651,-0.00474651,0.21708318,0.21708318,0.021865,-0.021865,0.021865,0.5094,0.4906,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-01,0.00672021,-0.00672021,0.14821322,0.14821322,0.045341,-0.045341,0.045341,0.4987,0.5013,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-02,0.01088149,-0.01088149,0.14840669,0.14840669,0.073322,-0.073322,0.073322,0.5104,0.4896,672,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-03,0.00211341,-0.00211341,0.15739975,0.15739975,0.013427,-0.013427,0.013427,0.4892,0.5108,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-04,0.00911379,-0.00911379,0.16104057,0.16104057,0.056593,-0.056593,0.056593,0.525,0.475,720,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-05,-0.00223946,0.00223946,0.14144826,0.14144826,-0.015832,0.015832,-0.015832,0.4772,0.5228,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-06,0.00324376,-0.00324376,0.13422999,0.13422999,0.024166,-0.024166,0.024166,0.5,0.5,720,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-07,-0.00093882,0.00093882,0.14641109,0.14641109,-0.006412,0.006412,-0.006412,0.4906,0.5094,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-08,0.00476317,-0.00476317,0.13744765,0.13744765,0.034654,-0.034654,0.034654,0.4946,0.5054,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-09,-0.00033046,0.00033046,0.12364677,0.12364677,-0.002673,0.002673,-0.002673,0.5,0.5,720,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-10,0.00319817,-0.00319817,0.11576191,0.11576191,0.027627,-0.027627,0.027627,0.4987,0.5013,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-11,0.00917237,-0.00917237,0.1293158,0.1293158,0.07093,-0.07093,0.07093,0.5208,0.4792,720,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2025-12,0.00435128,-0.00435128,0.11863058,0.11863058,0.036679,-0.036679,0.036679,0.5081,0.4919,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2026-01,0.00387389,-0.00387389,0.12747955,0.12747955,0.030388,-0.030388,0.030388,0.504,0.496,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2026-02,-0.0002095,0.0002095,0.12429394,0.12429394,-0.001685,0.001685,-0.001685,0.4911,0.5089,672,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2026-03,-0.00112058,0.00112058,0.13014144,0.13014144,-0.00861,0.00861,-0.00861,0.4987,0.5013,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2026-04,0.00482744,-0.00482744,0.12623134,0.12623134,0.038243,-0.038243,0.038243,0.5333,0.4667,720,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2026-05,-0.00341479,0.00341479,0.12723937,0.12723937,-0.026838,0.026838,-0.026838,0.5,0.5,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,1h,2026-06,0.00160167,-0.00160167,0.12926527,0.12926527,0.012391,-0.012391,0.012391,0.5,0.5,288,COMPUTED
amihud_illiquidity_20h,liquidity,negative,24h,2024-06,-0.04289541,0.04289541,0.15960513,0.15960513,-0.26876,0.26876,-0.26876,0.4464,0.5536,699,COMPUTED
amihud_illiquidity_20h,liquidity,negative,24h,2024-07,0.02025579,-0.02025579,0.13786159,0.13786159,0.146928,-0.146928,0.146928,0.5578,0.4422,744,COMPUTED
amihud_illiquidity_20h,liquidity,negative,24h,2024-08,0.02167094,-0.02167094,0.14728032,0.14728032,0.147141,-0.147141,0.147141,0.5605,0.4395,744,COMPUTED
