factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
mom_20h,momentum,positive,False,COMPUTED,4,4,4h,-0.01902155
reversal_5h,momentum,negative,False,COMPUTED,4,4,1h,-0.01063564
volatility_20h,volatility,negative,False,COMPUTED,4,4,72h,0.10006412
rsi_14h,technical,negative,False,COMPUTED,4,4,4h,0.03355077
bb_zscore_20h,technical,negative,False,COMPUTED,4,4,4h,0.0334522
wq101_alpha101,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,-0.00293277
wq101_alpha12,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.00828994
wq101_alpha53,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.01810047
q158_high_low_range,alpha158,conditional,False,DIRECTION_UNKNOWN,0,4,72h,-0.03711551
tech_macd,technical,positive,False,COMPUTED,4,4,4h,-0.00677206
tech_atr,technical,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.02270325
mom_5h,momentum,positive,False,COMPUTED,4,4,1h,-0.01063564
mom_10h,momentum,positive,False,COMPUTED,4,4,4h,-0.01379683
mom_40h,momentum,positive,False,COMPUTED,4,4,24h,-0.01769934
rev_3h,reversal,negative,False,COMPUTED,4,4,1h,-0.00799357
rev_10h,reversal,negative,False,COMPUTED,4,4,4h,-0.01379683
rev_24h,reversal,negative,False,COMPUTED,4,4,4h,-0.02007288
vol_5h,volatility,negative,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,72h,0.08050883
vol_40h,volatility,negative,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,72h,0.10359697
vol_ratio_5_20,volatility,conditional,False,DIRECTION_UNKNOWN,0,4,1h,-0.00053311
range_1h,range_position,conditional,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,72h,-0.03711551
range_4h,range_position,conditional,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,72h,-0.03648953
range_24h,range_position,conditional,False,DIRECTION_UNKNOWN,0,4,72h,-0.03304992
price_pos_24h,price_position,conditional,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,1h,0.00150637
price_pos_72h,price_position,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.00258718
vol_zscore_20h,volume_liquidity,positive,False,COMPUTED,4,4,4h,0.00076009
vol_zscore_48h,volume_liquidity,positive,False,COMPUTED,4,4,4h,-0.00101684
qvol_zscore_20h,quote_volume_liquidity,positive,False,COMPUTED,4,4,4h,0.00024319
qvol_zscore_48h,quote_volume_liquidity,positive,False,COMPUTED,4,4,4h,-0.00214771
ma_gap_5_20,trend_ma,positive,False,COMPUTED,4,4,24h,-0.01363946
ma_gap_10_40,trend_ma,positive,False,COMPUTED,4,4,24h,-0.01074745
breakout_dist_20h,breakout,positive,False,COMPUTED,4,4,1h,0.00325222
breakout_dist_48h,breakout,positive,False,COMPUTED,4,4,4h,0.00259373
candle_body,intraday_candle,conditional,False,DIRECTION_UNKNOWN,0,4,1h,-0.00407086
candle_wick_upper,intraday_candle,negative,False,COMPUTED,4,4,1h,0.00752455
candle_wick_lower,intraday_candle,positive,False,COMPUTED,4,4,1h,0.00338947
xs_rank_ret_1h,cross_sectional_normalized,conditional,False,DIRECTION_UNKNOWN,0,4,1h,-0.00455917
xs_rank_vol,cross_sectional_normalized,conditional,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,72h,-0.01912587
ema_12_26_gap,technical_indicators,positive,False,COMPUTED,4,4,24h,-0.01524245
rsi_7h,technical_indicators,negative,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,4h,0.03276969
rsi_28h,technical_indicators,negative,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,4h,0.03298878
williams_r_14h,technical_indicators,negative,False,COMPUTED,4,4,1h,0.00339039
downside_vol_20h,realized_skew_kurtosis,negative,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,72h,0.08963746
vol_of_vol_20h,realized_skew_kurtosis,negative,True,ACTIVE_IN_SIGNAL_COMPUTED,4,4,72h,0.08022652
mom_accel_20h,momentum,positive,False,COMPUTED,4,4,4h,-0.01079321
qvol_ma_ratio_5_20,quote_volume_liquidity,positive,False,COMPUTED,4,4,1h,-0.00204583
ma_gap_20_80,trend_ma,positive,False,COMPUTED,4,4,24h,-0.0069392
taker_buy_ratio_20h,taker_imbalance,positive,False,MISSING_FACTOR_VALUES,0,4,,
taker_buy_zscore_20h,taker_imbalance,positive,False,MISSING_FACTOR_VALUES,0,4,,
taker_buy_delta_5h,taker_imbalance,positive,False,MISSING_FACTOR_VALUES,0,4,,
funding_rate_level_20h,funding_rate,negative,False,MISSING_FACTOR_VALUES,0,4,,
funding_rate_zscore_80h,funding_rate,negative,False,MISSING_FACTOR_VALUES,0,4,,
funding_rate_change_24h,funding_rate,negative,False,MISSING_FACTOR_VALUES,0,4,,
